FC,OC,FO,InOr,F,sF,aF,O,sO,aO,C,sC,aC,LCE (%),LLCE,Method,Current (mA/cm2),Capacity (mAh/cm2),Cycle,Reference
0.239,0.978,0.244,1.575,0.046,0,0.046,0.188,0.096,0.092,0.193,0.193,0,98.2,1.745,Cycle,0.5,0.5,200,56
0.444,1.889,0.235,3,0.071,0,0.071,0.304,0.161,0.143,0.161,0.161,0,98.3,1.77,Cycle,1,1,200,25
1.086,0.58,1.872,1.779,0.265,0.245,0.02,0.142,0.102,0.039,0.244,0.242,0.002,98.5,1.824,Cycle,0.5,1,200,58
0.234,0.841,0.278,1.286,0.052,0,0.052,0.187,0.125,0.063,0.223,0.212,0.01,98.6,1.854,Cycle,0.5,0.8,200,20
0.313,0.804,0.39,1.318,0.071,0,0.071,0.182,0.121,0.061,0.226,0.206,0.02,98.7,1.886,Cycle,0.5,1,200,20
0.337,1.673,0.201,2.515,0.059,0,0.059,0.294,0.176,0.118,0.176,0.176,0,98.7,1.886,Cycle,0.5,1,200,52
0.135,0.741,0.182,0.944,0.04,0.028,0.012,0.223,0.192,0.03,0.3,0.3,0,98.8,1.921,Cycle,0.5,1,200,9
0.34,1.431,0.238,2.281,0.069,0,0.069,0.289,0.151,0.137,0.202,0.202,0,98.8,1.921,Cycle,0.5,1,200,52
0.561,2.122,0.264,3.526,0.082,0,0.082,0.312,0.147,0.165,0.147,0.147,0,99.2,2.097,Cycle,0.5,1,200,52
1.135,0.231,4.91,1.587,0.22,0.153,0.067,0.045,0,0.045,0.194,0.153,0.041,99.4,2.222,Cycle,0.5,1,200,70
1,0.129,7.746,1.207,0.201,0.17,0.031,0.026,0,0.026,0.201,0.17,0.031,99.4,2.222,Cycle,1,1,200,29
0.14,0.709,0.198,0.949,0.034,0,0.034,0.172,0.136,0.036,0.242,0.231,0.011,97,1.523,Cycle,1,1,230,11
0.496,1.993,0.249,3.233,0.081,0,0.081,0.326,0.164,0.162,0.164,0.164,0,99.3,2.155,Cycle,0.5,1,240,52
0.058,0.658,0.088,0.76,0.015,0,0.015,0.166,0.145,0.021,0.251,0.247,0.005,98.34,1.78,Cycle,0.5,1,250,6
0.333,1.333,0.25,2.333,0.056,0,0.056,0.222,0.111,0.111,0.167,0.167,0,99.2,2.097,Cycle,0.2,1,300,66
0.222,1.111,0.2,1.833,0.041,0,0.041,0.204,0.122,0.082,0.184,0.184,0,99.3,2.155,Cycle,0.2,1,300,66
0.167,0.833,0.2,1.5,0.036,0,0.036,0.182,0.109,0.073,0.218,0.218,0,97.3,1.569,Cycle,1,0.5,350,50
0.14,0.687,0.204,0.908,0.034,0,0.034,0.169,0.138,0.031,0.245,0.234,0.011,97.8,1.658,Cycle,0.5,1,350,12
0.385,0.799,0.482,1.387,0.087,0,0.087,0.181,0.116,0.065,0.227,0.198,0.029,98.5,1.824,Cycle,0.5,1,350,12
0,0.674,0,0.913,0,0,0,0.19,0.161,0.029,0.281,0.281,0,97,1.523,Cycle,0.5,0.5,450,49
0.2,0.9,0.222,1.65,0.042,0,0.042,0.189,0.105,0.084,0.211,0.211,0,98,1.699,Cycle,1,0.5,450,50
0.234,0.874,0.268,1.33,0.052,0.021,0.031,0.192,0.165,0.028,0.22,0.21,0.01,99.1,2.046,Cycle,0.5,1,450,12
0.045,0.761,0.059,0.829,0.013,0,0.013,0.212,0.186,0.025,0.278,0.265,0.013,95,1.301,Cycle,0.1,0.1,500,37
1.412,0.521,2.71,1.964,0.362,0.315,0.047,0.134,0.134,0,0.257,0.257,0,99.2,2.097,Cycle,0.2,1,500,65
0.234,0.967,0.242,1.551,0.045,0,0.045,0.187,0.097,0.09,0.193,0.193,0,99.22,2.108,Cycle,0.5,1,500,19
0.219,0.281,0.781,0.632,0.077,0.046,0.031,0.098,0.037,0.061,0.35,0.35,0,99.3,2.155,Cycle,1,1,500,68
0.765,0.599,1.277,1.521,0.173,0.15,0.024,0.136,0.088,0.047,0.227,0.227,0,99.46,2.268,Cycle,0.5,1,500,19
0.208,0.915,0.227,1.434,0.041,0,0.041,0.182,0.099,0.082,0.198,0.198,0,99.1,2.046,Cycle,0.2,1,>500,18
0.191,0.75,0.255,0.973,0.055,0,0.055,0.214,0.214,0,0.285,0.285,0,85,0.824,Cycle,1,1,,35
